"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"group_4239","","hypothetical protein","0","92","163","45","0.0","32.846715328467155","0.0","3.30133955608462e-43","5.880346017297926e-39","2.672884553317239e-40"
"group_4188","","hypothetical protein","112","0","51","137","68.71165644171779","100.0","inf","1.1603760367122775e-42","2.0668617965919088e-38","8.955278381439876e-40"
"group_2715","dctD_1","C4-dicarboxylate transport transcriptional regulatory protein DctD","125","5","38","132","76.68711656441718","96.35036496350365","86.84210526315789","1.206639799879615e-42","2.1492668115455703e-38","8.955278381439876e-40"
"group_1878","","hypothetical protein","0","91","163","46","0.0","33.57664233576642","0.0","1.499956450482173e-42","2.6717224295988467e-38","1.0686889718395387e-39"
"sucB_2","","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex","37","131","126","6","22.699386503067483","4.37956204379562","0.013449654671028717","6.22846544179359e-42","1.1094142644922743e-37","4.2669779403549014e-39"
"group_3461","","hypothetical protein","0","90","163","47","0.0","34.306569343065696","0.0","6.701933076622998e-42","1.1937483196080884e-37","4.4212900726225495e-39"
"group_5163","sucB_2","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex","126","7","37","130","77.30061349693251","94.8905109489051","63.24324324324324","8.04260225795162e-41","1.4325483141863427e-36","5.116243979236938e-38"
"group_972","","hypothetical protein","0","86","163","51","0.0","37.22627737226277","0.0","2.2784226113473653e-39","4.058326355331927e-35","1.3994228811489403e-36"
"dctD_2","","C4-dicarboxylate transport transcriptional regulatory protein DctD","134","17","29","120","82.20858895705521","87.59124087591242","32.61663286004057","4.3162295647122093e-36","7.688068100665388e-32","2.5626893668884625e-33"
"group_5161","sucC_2","Succinate--CoA ligase [ADP-forming] subunit beta","125","11","38","126","76.68711656441718","91.97080291970804","37.67942583732057","7.25275187918461e-36","1.2918601647203626e-31","4.167290853936654e-33"
